species,latitude,longitude
phytopathogens,-17.026235,32.75237
phytopathogens,-17.026235,32.75237
phytopathogens,-16.989818,32.717743
phytopathogens,-16.996087,32.719503
phytopathogens,-16.989818,32.717743
phytopathogens,-17.013888,32.737635
phytopathogens,-17.004118,32.722772
phytopathogens,-16.996035,32.717802
phytopathogens,-17.030472,32.60371
phytopathogens,-17.034712,32.584963
phytopathogens,-17.034712,32.584963
phytopathogens,-16.994142,32.6473846
phytopathogens,-16.994142,32.6473846
phytopathogens,-16.994142,32.6473846
phytopathogens,-16.994142,32.6473846
phytopathogens,-17.081453,32.603888
phytopathogens,-17.081633,32.60859
phytopathogens,-17.024045,32.745022
phytopathogens,-17.007284,32.728689
phytopathogens,-17.034891,32.584299
phytopathogens,-16.994097,32.64725
phytopathogens,-16.994097,32.64725
phytopathogens,-16.958217,32.519053
phytopathogens,-17.8195068,31.5579397
phytopathogens,-17.816359,31.5836399
phytopathogens,-17.8247413,31.5553934
phytopathogens,-17.8253183,31.55489
phytopathogens,-17.815509,31.5939016
phytopathogens,-17.8240232,31.5978066
phytopathogens,-17.8288652,31.5516721
phytopathogens,-17.8272494,31.5590966
phytopathogens,-17.8262822,31.5687284
phytopathogens,-17.8240345,31.5685231
phytopathogens,-17.8123783,31.56472
phytopathogens,-17.8171057,31.5793457
phytopathogens,-17.8158222,31.5914988
phytopathogens,-17.8239695,31.5977751
phytopathogens,-17.8193429,31.6001397
phytopathogens,-17.8101923,31.5997973
phytopathogens,-17.8097285,31.6017642
phytopathogens,-17.8137021,31.6009626
phytopathogens,-17.8132914,31.5986321
phytopathogens,-17.8202413,31.6044486
phytopathogens,-17.8119338,31.6025089
phytopathogens,-17.815151,31.6136228
phytopathogens,-17.8133081,31.6104781
phytopathogens,-17.8166064,31.608676
phytopathogens,-17.8197644,31.605084
phytopathogens,-17.8264759,31.5514651
phytopathogens,-17.27651214,32.47427747
phytopathogens,-17.39317,32.283467
phytopathogens,-17.393002,32.28634
phytopathogens,-17.27029793,32.47876047
phytopathogens,-17.27029793,32.47876047
phytopathogens,-17.27029793,32.47876047
phytopathogens,-17.39317,32.283467
phytopathogens,-17.25069503,32.45173158
phytopathogens,-17.27651214,32.47427747
phytopathogens,-17.25069503,32.45173158
phytopathogens,-17.27029793,32.47876047
